
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 08:21:14 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 20:21:15.373] [scope] [info] recorded system CPU turbo state
[2023-10-09 20:21:15.373] [scope] [info] recorded CPU goveror
[2023-10-09 20:21:15.373] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 20:21:15.373] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T20:21:17-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1796.12 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.45, 0.25, 0.20
-----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations UserCounters...
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time_stddev       99.7 ns       158681 ns            5 bytes=0 bytes_per_second=49.5835M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):21/manual_time_cv           0.16 %          1.63 %             5 bytes=0.00% bytes_per_second=0.16% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time            122862 ns     19558165 ns         5699 bytes=4.1943M bytes_per_second=31.7937G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time            123017 ns     19562464 ns         5699 bytes=4.1943M bytes_per_second=31.7538G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time            123198 ns     19567680 ns         5699 bytes=4.1943M bytes_per_second=31.7071G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time            123179 ns     17564758 ns         5699 bytes=4.1943M bytes_per_second=31.7121G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time            122946 ns     17900312 ns         5699 bytes=4.1943M bytes_per_second=31.772G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time_mean       123040 ns     18830676 ns            5 bytes=4.1943M bytes_per_second=31.7477G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time_median     123017 ns     19558165 ns            5 bytes=4.1943M bytes_per_second=31.7538G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time_stddev        146 ns      1009462 ns            5 bytes=0 bytes_per_second=38.513M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):22/manual_time_cv           0.12 %          5.36 %             5 bytes=0.00% bytes_per_second=0.12% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time            241222 ns     38492434 ns         2904 bytes=8.38861M bytes_per_second=32.3872G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time            242200 ns     38487878 ns         2904 bytes=8.38861M bytes_per_second=32.2565G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time            242371 ns     38493388 ns         2904 bytes=8.38861M bytes_per_second=32.2337G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time            241792 ns     38481145 ns         2904 bytes=8.38861M bytes_per_second=32.3109G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time            241282 ns     38484196 ns         2904 bytes=8.38861M bytes_per_second=32.3791G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time_mean       241773 ns     38487808 ns            5 bytes=8.38861M bytes_per_second=32.3135G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time_median     241792 ns     38487878 ns            5 bytes=8.38861M bytes_per_second=32.3109G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time_stddev        521 ns         5244 ns            5 bytes=0 bytes_per_second=71.2447M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):23/manual_time_cv           0.22 %          0.01 %             5 bytes=0.00% bytes_per_second=0.22% dst_numa=-nan% src_gpu=-nan%
