
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:45:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:45:31.397] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:45:31.398] [scope] [info] recorded CPU goveror
[2023-10-09 17:45:31.398] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:45:31.398] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:45:33-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.29, 3.20, 19.10
--------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time_stddev       16.0 ns         50.2 ns            5 bytes=0 bytes_per_second=196.641M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):21/manual_time_cv           0.13 %          0.15 %             5 bytes=0.00% bytes_per_second=0.13% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time             13379 ns        34667 ns        52432 bytes=4.1943M bytes_per_second=291.968G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time             13353 ns        34652 ns        52432 bytes=4.1943M bytes_per_second=292.538G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time             13377 ns        34658 ns        52432 bytes=4.1943M bytes_per_second=292.021G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time             13347 ns        34624 ns        52432 bytes=4.1943M bytes_per_second=292.663G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time             13375 ns        34636 ns        52432 bytes=4.1943M bytes_per_second=292.058G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time_mean        13366 ns        34647 ns            5 bytes=4.1943M bytes_per_second=292.249G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time_median      13375 ns        34652 ns            5 bytes=4.1943M bytes_per_second=292.058G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time_stddev       14.9 ns         17.5 ns            5 bytes=0 bytes_per_second=332.732M/s own_gpu=0 wr_gpu=0
