
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.022] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.023] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.023] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.023] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1960.75 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.68, 11.22, 26.93
-------------------------------------------------------------------------------------------------------------------------
Benchmark                                                               Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time             13032 ns   1296164009 ns        53698 bytes=262.144k bytes_per_second=18.7345G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time             13045 ns   1297566207 ns        53698 bytes=262.144k bytes_per_second=18.7153G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time_mean        13042 ns   1297567657 ns            5 bytes=262.144k bytes_per_second=18.7202G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time_median      13045 ns   1297566207 ns            5 bytes=262.144k bytes_per_second=18.7153G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time_stddev       6.53 ns       914350 ns            5 bytes=0 bytes_per_second=9.59667M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):18/manual_time_cv           0.05 %          0.07 %             5 bytes=0.00% bytes_per_second=0.05% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):19/manual_time             13199 ns   1290188650 ns        53104 bytes=524.288k bytes_per_second=36.9946G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):19/manual_time             13185 ns   1289252747 ns        53104 bytes=524.288k bytes_per_second=37.0321G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):19/manual_time             13201 ns   1290475079 ns        53104 bytes=524.288k bytes_per_second=36.9886G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):19/manual_time             13193 ns   1289345224 ns        53104 bytes=524.288k bytes_per_second=37.0097G/s dst_id=0 src_id=0
